nct_id,brief_title,phase,enrollment_actual,lead_sponsor_class,conditions,duration_days,num_sites,num_countries,num_arms,num_interventions,enrollment_per_site,has_multiple_arms,num_inclusion_criteria,num_exclusion_criteria,total_criteria,criteria_text_length,min_age_years,max_age_years,age_range_years,sex_restricted,is_phase2,is_phase3,is_industry_sponsored,is_cancer,is_diabetes,is_hiv,is_asthma,is_pain,is_hypertension,is_depression,is_schizophrenia,enrollment_success
NCT03090035,Impact of Interleukin 28B (rs12979860) Genotype on Virological Responses Chronic Hepatitis C Treatment,PHASE3,98.0,OTHER_GOV,"Hepatitis C, Hepatitis C Relapse",364,1,1,1,2,98.0,0,1,1,2,148,20.0,80.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCT00723450,Lamictal as Add-on Treatment for Bipolar I Disorder in Pediatric Patients,PHASE3,301.0,INDUSTRY,Bipolar Disorder,1857,46,1,2,1,6.543478260869565,1,4,10,14,2078,10.0,17.0,7.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT02259400,"NIV Strategies for RDS in Preterm Infants. NIV (Non Invasive Ventilation), RDS (Respiratory Distress Syndrome)",PHASE2/PHASE3,280.0,OTHER,RDS of Prematurity,1065,0,0,2,2,280.0,1,1,3,4,579,18.0,65.0,47.0,0,1,1,0,0,0,0,0,0,0,0,0,1
NCT04705519,Nab-paclitaxel Combined with Bevacizumab in the Treatment of Metastatic Extrapulmonary Neuroendocrine Carcinoma,PHASE2,79.0,OTHER,Neuroendocrine Carcinoma,1364,1,1,1,1,79.0,0,0,0,0,4105,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT00174863,Evaluation of SR 31747A Versus Placebo in Androgen-Independent Non Metastatic Prostate Cancer,PHASE2,232.0,INDUSTRY,Prostatic Neoplasm,1035,13,13,1,1,17.846153846153847,0,10,8,18,1812,18.0,65.0,47.0,1,1,0,1,0,0,0,0,0,0,0,0,1
NCT03790904,Anti Plaque Efficacy of Salvadora Persica L. and Green Tea Mouthwash,PHASE2,15.0,OTHER,Periodontal Diseases,89,1,1,3,3,15.0,1,2,8,10,720,20.0,23.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT02493725,JET-GBS - Japanese Eculizumab Trial for GBS,PHASE2,34.0,OTHER,Gullain Barre Syndrome,458,13,1,2,2,2.6153846153846154,1,0,0,0,3123,18.0,99.0,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT04251585,Intranasal Insulin in Parkinson's Disease,PHASE2,31.0,OTHER,Parkinson Disease,1666,1,1,4,2,31.0,1,9,12,21,3521,41.0,89.0,48.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT03960957,Efficacy and Safety of a New Dilution and Injection Volume of AbobotulinumtoxinA for the Treatment of Glabellar Lines,PHASE3,301.0,INDUSTRY,Glabellar Frown Lines,304,11,1,2,2,27.363636363636363,1,2,1,3,246,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT02611037,"Transarterial Chemoperfusion: Cisplatin, Methotrexate, Gemcitabine for Unresectable Pleural Mesothelioma",PHASE2,34.0,OTHER,"Malignant Pleural Mesothelioma, Mesothelioma",2884,1,1,1,4,34.0,0,14,8,22,4090,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT03585374,Trauma Acute Pain Treatment With Methoxyflurane Vaporized (PENTHROX®): Efficacy and Safety Study (MEDITA),PHASE3,272.0,INDUSTRY,Acute Traumatic Pain,379,16,1,2,4,17.0,1,4,25,29,2690,18.0,65.0,47.0,0,0,1,1,0,0,0,0,1,0,0,0,1
NCT01226953,Immunogenicity and Safety of a Booster Dose of Monovalent Glycoprotein-Conjugated (Diptheria Toxin -CRM197) Hib Vaccine in 365-569 Days Old Healthy Infants,PHASE3,660.0,INDUSTRY,Haemophilus Influenzae Type b (Hib) Infection,151,1,1,2,1,660.0,1,1,4,5,283,1.0,1.558904109589041,0.558904109589041,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT02771366,The Efficient Brain Study,PHASE2,30.0,OTHER,Metabolism - Cerebral Energy,604,1,1,2,2,30.0,1,5,24,29,1845,65.0,100.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT02635945,"A Study to Assess the Efficacy of a 5-day, 10- mg PBF-680 Oral Administration on Late Asthmatic Responses (LAR) in Mild to Moderate Asthmatic Patients.",PHASE2,8.0,INDUSTRY,Asthma,1309,1,1,2,2,8.0,1,0,0,0,4935,18.0,65.0,47.0,0,1,0,1,0,0,0,1,0,0,0,0,0
NCT00499343,G-CSF Versus G-CSF Plus GM-CSF for Stem Cell Mobilization in NHL Patients,PHASE2,84.0,OTHER,Lymphoma,1735,1,1,2,6,84.0,1,0,0,0,1238,18.0,70.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT01411501,Efficacy and Safety of Acupuncture for Functional Constipation,PHASE3,684.0,OTHER,Constipation,1188,1,1,4,2,684.0,1,4,5,9,722,18.0,75.0,57.0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCT03270956,A Study of Autologous Renal Autologous Cell Therapy (REACT) in Patients With Diabetic Chronic Kidney Disease,PHASE2,10.0,INDUSTRY,"Type 2 Diabetes Mellitus, Chronic Kidney Disease",1667,4,1,1,1,2.5,0,0,0,0,1476,30.0,65.0,35.0,0,1,0,1,0,1,0,0,0,0,0,0,0
NCT04817982,Does Perineural Dexamethasone Increase the Duration of an Ulnar Nerve Block When Controlling for Systemic Effects?,PHASE2,16.0,OTHER,"Anesthesia, Local",38,1,1,4,4,16.0,1,5,11,16,885,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT02335658,Long-term Study of DSP-5423P in Patients With Schizophrenia,PHASE3,200.0,INDUSTRY,Schizophrenia,882,1,1,1,1,200.0,0,3,2,5,441,18.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,1,0
NCT00092131,Montelukast in Exercise-Induced Bronchospasm - 2003 (0476-270),PHASE3,51.0,INDUSTRY,"Asthma, Exercise-Induced",153,0,0,2,2,51.0,1,1,1,2,186,15.0,45.0,30.0,0,0,1,1,0,0,0,1,0,0,0,0,0
NCT02976129,"A Six Week Efficacy, Safety and Tolerability Study of V565 in Crohn's Disease",PHASE2,125.0,INDUSTRY,Crohn's Disease,797,94,13,2,2,1.3297872340425532,1,4,9,13,1182,18.0,80.0,62.0,0,1,0,1,0,0,0,0,0,0,0,0,1
NCT01750398,Bipolar Androgen-based Therapy for Prostate Cancer (BAT),PHASE2,33.0,OTHER,Recurrent Prostate Cancer,880,1,1,1,3,33.0,0,0,0,0,2885,18.0,65.0,47.0,1,1,0,0,1,0,0,0,0,0,0,0,0
NCT00827996,To Assess the Efficacy and Safety of Adalimumab in Subjects With Moderate to Severe Hidradenitis Suppurativa,PHASE2,10.0,OTHER,Hidradenitis Suppurativa,550,0,0,1,1,10.0,0,0,0,0,2028,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT03818932,Nonopioid Analgesia After Anterior Cruciate Ligament Reconstruction,PHASE2/PHASE3,90.0,OTHER,Anterior Cruciate Ligament Injury,484,1,1,2,6,90.0,1,1,1,2,599,18.0,65.0,47.0,0,1,1,0,0,0,0,0,0,0,0,0,1
NCT02979639,"Study to Evaluate the Impact of Reactogenicity on Quality of Life (QoL), After Administration of GlaxoSmithKline (GSK) Biologicals' Candidate Herpes Zoster Subunit (HZ/su) Vaccine (GSK1437173A) in Adults ≥ 50 Years of Age",PHASE3,404.0,INDUSTRY,Herpes Zoster,493,11,1,1,1,36.72727272727273,0,5,13,18,3703,50.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT05918224,Streptococcus Salivarius K12 for Prevention and Treatment of Oral Mucositis in Patients Undergoing Radiotherapy,PHASE2,160.0,OTHER,Head and Neck Squamous Cell Carcinoma,333,1,1,2,2,160.0,1,5,5,10,786,18.0,80.0,62.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT01605227,Study of Cabozantinib (XL184) Versus Prednisone in Men With Metastatic Castration-resistant Prostate Cancer Previously Treated With Docetaxel and Abiraterone or MDV3100,PHASE3,1028.0,INDUSTRY,"Prostate Cancer, Castration Resistant Prostate Cancer, Pain, Prostatic Neoplasms",973,264,14,2,2,3.893939393939394,1,8,13,21,2464,18.0,65.0,47.0,1,0,1,1,1,0,0,0,1,0,0,0,1
NCT00260533,Efficacy and Tolerability of Atomoxetine (Strattera) in Adult Patients With Generalized Social Anxiety Disorder,PHASE2/PHASE3,27.0,OTHER,Generalized Social Phobia,974,0,0,2,2,27.0,1,2,11,13,1146,18.0,65.0,47.0,0,1,1,0,0,0,0,0,0,0,0,0,0
NCT02107261,Incobotulinum Toxin A (Xeomin®) As A Treatment For Focal Task-Specific Dystonia Of The Musician's Hand,PHASE2,21.0,OTHER,Dystonia,2128,2,1,2,2,10.5,1,5,3,8,803,18.0,80.0,62.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT02041520,Effect of Omega 3 Fatty Acids on Oxidative Stress in HIV Seropositive Patients,PHASE3,70.0,OTHER_GOV,HIV/AIDS,880,1,1,2,2,70.0,1,3,4,7,433,20.0,60.0,40.0,0,0,1,0,0,0,1,0,0,0,0,0,0
NCT01415011,Efficacy and Safety Study of Afatinib to Treat Lung Cancer Patients,PHASE2,39.0,OTHER,"Carcinoma, Non-Small-Cell Lung",2160,15,1,1,1,2.6,0,10,25,35,3750,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT01479530,Azilect® (Rasagiline) in Levodopa-treated Parkinson's Patients With Motor Fluctuations in China,PHASE3,321.0,INDUSTRY,Parkinson's Disease,547,18,1,2,2,17.833333333333332,1,6,7,13,1311,30.0,65.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,1
NCT01188265,Add-on Dextromethorphan in Bipolar Disorders,PHASE3,300.0,OTHER,Bipolar Disorder,1461,1,1,3,4,300.0,1,0,0,0,2244,18.0,65.0,47.0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCT00467272,Catheter Related - Gram Positive Bloodstream Infections,PHASE2,30.0,OTHER,Bloodstream Infection,2010,1,1,1,1,30.0,0,6,13,19,3526,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCT01794208,Efficacy and Safety of FSH-GEX™ in Comparison With 150 IU Gonal-f®,PHASE2,267.0,INDUSTRY,Infertility,203,8,2,6,2,33.375,1,10,23,33,2184,18.0,37.0,19.0,1,1,0,1,0,0,0,0,0,0,0,0,1
NCT05846373,Effect of Nicotinic Acid as Add on Therapy in Patients Receiving β Blocker for Prophylaxis of Moderate to Severe Migraine,PHASE2,58.0,OTHER,Migraine Prophylaxis,411,1,1,3,3,58.0,1,0,0,0,842,18.0,65.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCT03172624,Study of Nivolumab Plus Ipilimumab in Patients With Salivary Gland Cancer,PHASE2,64.0,OTHER,Salivary Gland Cancer,2763,8,1,2,2,8.0,1,14,9,23,6923,18.0,65.0,47.0,0,1,0,0,1,0,0,0,0,0,0,0,1
